"filename", "language", "Dart", "comment", "blank", "total"
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/action_button.dart", "Dart", 23, 0, 4, 27
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/add_burron.dart", "Dart", 26, 0, 3, 29
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/add_icon.dart", "Dart", 15, 0, 3, 18
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/alert_dialog.dart", "Dart", 57, 2, 2, 61
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/animations/bottom_slide_transitions.dart", "Dart", 32, 0, 7, 39
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/bounce.dart", "Dart", 56, 1, 14, 71
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/icne_text.dart", "Dart", 25, 0, 4, 29
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/modal_bottom_sheet.dart", "Dart", 78, 7, 2, 87
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/rounded_button.dart", "Dart", 44, 0, 4, 48
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/rounded_text_field.dart", "Dart", 178, 2, 8, 188
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/task_card.dart", "Dart", 65, 10, 2, 77
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/Components/titled.dart", "Dart", 27, 0, 5, 32
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/add_task_screen.dart", "Dart", 101, 121, 15, 237
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/constants/app_colors.dart", "Dart", 46, 6, 6, 58
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/constants/validation.dart", "Dart", 6, 1, 2, 9
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/home.dart", "Dart", 18, 191, 11, 220
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/main.dart", "Dart", 11, 7, 6, 24
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/mian_view.dart", "Dart", 109, 5, 4, 118
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/model/task.dart", "Dart", 43, 7, 6, 56
"/Users/mohammedalmazyad/Documents/codes/flutter_work/flutterweekend/lib/services/fire_base.dart", "Dart", 20, 3, 10, 33
"Total", "-", 980, 363, 118, 1461